attempt_id,combo_key,x_wind_mps,y_wind_mps,target_run_index,attempt_index,status,success_class,mission_completed_full,square_completed,loiter_completed,analysis_status,raw_log_path,attempt_dir,run_alias,start_time_utc,end_time_utc,duration_wall_s,notes
wind_x_00_y_00__rep_01__attempt_001,wind_x_00_y_00,0,0,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_001/wind_x_00_y_00__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_001,run_01,2026-05-06T10:44:09+00:00,2026-05-06T11:02:15+00:00,1085.5,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_00__rep_01__attempt_001,wind_x_04_y_00,4,0,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_001/wind_x_04_y_00__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_001,run_01,2026-05-06T11:02:28+00:00,2026-05-06T11:21:47+00:00,1159.5,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_00__rep_01__attempt_001,wind_x_08_y_00,8,0,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_001/wind_x_08_y_00__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_001,run_01,2026-05-06T11:22:00+00:00,2026-05-06T11:47:09+00:00,1509.1,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_00__rep_01__attempt_001,wind_x_12_y_00,12,0,1,1,failed,,False,False,False,not_run,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001/wind_x_12_y_00__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001,,2026-05-06T11:47:23+00:00,2026-05-06T12:19:09+00:00,1906.7,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 20 WP', 'Reached waypoint #20 dist 10m', 'Mission: 21 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True"
wind_x_00_y_04__rep_01__attempt_001,wind_x_00_y_04,0,4,1,1,interrupted,,False,False,False,not_run,,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_001,,2026-05-06T12:19:22+00:00,2026-05-06T12:19:45+00:00,22.7,bookkeeping_recovered_stale_running_record
wind_x_00_y_00__rep_02__attempt_002,wind_x_00_y_00,0,0,2,2,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_002/wind_x_00_y_00__rep_02__attempt_002.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_002,run_02,2026-05-06T12:24:48+00:00,2026-05-06T12:48:12+00:00,1404.3,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_002/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_00__rep_02__attempt_002,wind_x_04_y_00,4,0,2,2,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_002/wind_x_04_y_00__rep_02__attempt_002.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_002,run_02,2026-05-06T12:48:25+00:00,2026-05-06T13:07:12+00:00,1127.4,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_002/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_00__rep_02__attempt_002,wind_x_08_y_00,8,0,2,2,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_002/wind_x_08_y_00__rep_02__attempt_002.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_002,run_02,2026-05-06T13:07:25+00:00,2026-05-06T13:30:54+00:00,1408.9,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_002/wind_injection.json | completed_square_loiter_early | last_statustext=['Mission: 22 WP', 'Reached waypoint #22 dist 20m', 'Mission: 23 LoitTurns'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_00__rep_01__attempt_002,wind_x_12_y_00,12,0,1,2,failed,,False,True,False,not_run,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002/wind_x_12_y_00__rep_01__attempt_002.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002,,2026-05-06T13:31:06+00:00,2026-05-06T14:12:43+00:00,2496.4,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_002/wind_injection.json | mission_timed_out | last_statustext=['Mission: 22 WP', 'Reached waypoint #22 dist 20m', 'Mission: 23 LoitTurns'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=True loiter_completed=False accept_square_only=True"
wind_x_00_y_04__rep_01__attempt_002,wind_x_00_y_04,0,4,1,2,interrupted,,False,False,False,not_run,,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_002,,2026-05-06T14:12:55+00:00,2026-05-06T14:14:24+00:00,88.4,wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_002/wind_injection.json | bookkeeping_recovered_stale_running_record
