attempt_id,combo_key,x_wind_mps,y_wind_mps,target_run_index,attempt_index,status,success_class,mission_completed_full,square_completed,loiter_completed,analysis_status,raw_log_path,attempt_dir,run_alias,start_time_utc,end_time_utc,duration_wall_s,notes
wind_x_04_y_04__rep_01__attempt_001,wind_x_04_y_04,4,4,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_001/wind_x_04_y_04__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_001,run_01,2026-04-28T11:27:23+00:00,2026-04-28T11:42:44+00:00,920.6,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_04__rep_01__attempt_001,wind_x_08_y_04,8,4,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_04/runs/attempt_001/wind_x_08_y_04__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_04/runs/attempt_001,run_01,2026-04-28T11:42:56+00:00,2026-04-28T11:59:17+00:00,981.2,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_04/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_04__rep_01__attempt_001,wind_x_12_y_04,12,4,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_04/runs/attempt_001/wind_x_12_y_04__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_04/runs/attempt_001,run_01,2026-04-28T11:59:30+00:00,2026-04-28T12:19:52+00:00,1222.4,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_04/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_08__rep_01__attempt_001,wind_x_04_y_08,4,8,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_08/runs/attempt_001/wind_x_04_y_08__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_08/runs/attempt_001,run_01,2026-04-28T12:20:05+00:00,2026-04-28T12:36:47+00:00,1001.8,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_08/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_08__rep_01__attempt_001,wind_x_08_y_08,8,8,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_08/runs/attempt_001/wind_x_08_y_08__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_08/runs/attempt_001,run_01,2026-04-28T12:37:00+00:00,2026-04-28T12:55:14+00:00,1094.2,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_08/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_08__rep_01__attempt_001,wind_x_12_y_08,12,8,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_08/runs/attempt_001/wind_x_12_y_08__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_08/runs/attempt_001,run_01,2026-04-28T12:55:26+00:00,2026-04-28T13:18:04+00:00,1357.4,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_08/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_12__rep_01__attempt_001,wind_x_04_y_12,4,12,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_12/runs/attempt_001/wind_x_04_y_12__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_12/runs/attempt_001,run_01,2026-04-28T13:18:16+00:00,2026-04-28T13:37:14+00:00,1137.9,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_12/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_12__rep_01__attempt_001,wind_x_08_y_12,8,12,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_12/runs/attempt_001/wind_x_08_y_12__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_12/runs/attempt_001,run_01,2026-04-28T13:37:27+00:00,2026-04-28T13:59:04+00:00,1297.1,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_08_y_12/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_12__rep_01__attempt_001,wind_x_12_y_12,12,12,1,1,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_12/runs/attempt_001/wind_x_12_y_12__rep_01__attempt_001.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_12/runs/attempt_001,run_01,2026-04-28T13:59:17+00:00,2026-04-28T14:30:21+00:00,1864.6,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_12_y_12/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_04__rep_02__attempt_002,wind_x_04_y_04,4,4,2,2,success_square_only,square_loiter_only,False,True,True,done,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_002/wind_x_04_y_04__rep_02__attempt_002.BIN,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_002,run_02,2026-04-28T14:30:34+00:00,2026-04-28T14:45:19+00:00,884.7,"wind_injection_artifact=/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/018_New_Param_Full_CTE_Matrix/wind_x_04_y_04/runs/attempt_002/wind_injection.json | completed_square_loiter_early | last_statustext=['Mission: 22 WP', 'Reached waypoint #22 dist 18m', 'Mission: 23 LoitTurns'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
