source_file,line,raw_string,resolved_abs_path,classification,notes
.ai/QUICK_START.md,119,src/SIM_ARD_GAW/logs/flights/,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/flights/,MISSING,Directory does not exist. Real logs in numbered buckets.
.ai/QUICK_START.md,15,~/ardupilot_workspace/setup.bash,/home/ahmed/ardupilot_workspace/setup.bash,EXISTS,
.ai/QUICK_START.md,35,~/ardupilot_workspace/src/SIM_ARD_GAW/scripts,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/scripts,EXISTS,
.ai/QUICK_START.md,51,~/ardupilot_workspace/src/ardupilot,/home/ahmed/ardupilot_workspace/src/ardupilot,EXISTS,
.ai/QUICK_START.md,58,~/ardupilot_workspace/src/SIM_ARD_GAW/worlds/mini_talon_runway.sdf,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/worlds/mini_talon_runway.sdf,EXISTS,
.ai/QUICK_START.md,125,plane_base.parm,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/config/plane_base.parm,EXISTS,
.ai/QUICK_START.md,125,plane_params.parm,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/config/plane_params.parm,MISSING,"Correctly noted as not existing in doc"
.ai/QUICK_START.md,125,plane_full.parm,RELATIVE_AMBIGUOUS,"Multiple lane-specific plane_full.parm files exist"
.ai/QUICK_START.md,167,.ai/vehicles/fixed_wing/STATUS.md,/home/ahmed/ardupilot_workspace/.ai/vehicles/fixed_wing/STATUS.md,EXISTS,
.ai/QUICK_START.md,168,.ai/features/lidar/STATUS.md,/home/ahmed/ardupilot_workspace/.ai/features/lidar/STATUS.md,EXISTS,
.ai/QUICK_START.md,169,.ai/architecture/OVERVIEW.md,/home/ahmed/ardupilot_workspace/.ai/architecture/OVERVIEW.md,EXISTS,
.ai/architecture/COMMANDS.md,52,wind_altitude_log_check.py,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/scripts/wind_altitude_log_check.py,MISSING,Script does not exist
.ai/architecture/COMMANDS.md,272,src/SIM_ARD_GAW/logs/flights/,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/flights/,MISSING,
.ai/architecture/PATHS.md,23,.private/,/home/ahmed/ardupilot_workspace/.private/,EXISTS,
.ai/architecture/PATHS.md,101,logs/flights/,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/logs/flights/,MISSING,
.ai/architecture/SIMULATION_LANES.md,38,wind_altitude_log_check.py,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/scripts/wind_altitude_log_check.py,MISSING,Script does not exist
.ai/reconciliation/MASTER_STATUS_MATRIX.md,107,archive/ardupilot_logs_20260506/00000110.BIN,/home/ahmed/ardupilot_workspace/archive/ardupilot_logs_20260506/00000110.BIN,EXISTS,"Path is workspace-root-relative, not SIM_ARD_GAW-relative"
.ai/issues/RESOLVED.md,38,config/full_auto_mission_v7.waypoints,/home/ahmed/ardupilot_workspace/src/SIM_ARD_GAW/config/full_auto_mission_v7.waypoints,MISSING,Referenced as created but does not exist
